EmployeeID,TotalWorkingHours,Billable_Hours,Hours_off_Duty,Touring_Hours,NoOfProjects,ActualTimeSpent
emp-1,184,144,40,144,3,77
emp-1,176,136,40,136,2,98
emp-1,200,120,72,120,1,14
emp-1,160,144,8,144,3,147
emp-1,171,135,0,135,1,42
emp-1,205,128,40,128,1,77
emp-1,160,104,0,104,1,105
emp-1,162,114,0,114,1,133
emp-1,202,162,0,162,2,168
emp-1,148,108,40,108,3,196
emp-1,140,116,8,116,3,231
emp-1,144,84,0,84,1,77
emp-1,156,80,0,80,1,105
emp-1,178,101,16,101,2,140
emp-1,92,24,64,24,1,161
emp-1,100,73,16,73,2,196
emp-1,118,118,0,118,3,203
emp-1,196,181,0,181,2,84
emp-1,130,112,0,112,2,112
emp-1,197,189,8,189,2,133
emp-1,134,56,40,56,3,175
emp-1,33,17,16,17,1,84
emp-1,38,16,0,16,1,91
emp-3,160,0,88,0,0,0
emp-3,169.5,129.5,32,129.5,2,14
emp-3,241.5,119.5,80,119.5,1,21
emp-3,232.5,180.5,8,180.5,1,63
emp-3,226.5,178.5,8,178.5,1,91
emp-3,222,139,64,139,1,119
emp-3,102,0,8,0,0,0
emp-3,208,179.5,8,0,1,21
emp-3,247.5,231.5,16,0,1,56
emp-3,184.5,132.5,48,0,2,84
emp-3,236,216,8,0,2,119
emp-3,216.5,181.5,16,12,3,147
emp-3,220.5,202.5,0,31.5,2,112
emp-3,243.5,180,63.5,0,1,147
emp-3,191.5,165.5,16,0,1,175
emp-3,214,192,8,0,2,189
emp-3,171,166,0,0,1,49
emp-3,234,209,9,0,3,77
emp-3,180,142,0,0,1,49
emp-3,246,120,48,0,1,77
emp-3,166,97,8,0,2,112
emp-3,160,48,80,0,1,140
emp-3,78,48,0,0,1,154
emp-4,160,0,0,0,0,0
emp-4,174,12,40,12,1,14
emp-4,192,56,56,0,3,7
emp-4,160,24,0,0,2,14
emp-4,160,4,0,0,2,56
emp-4,204,60,0,60,1,231
emp-4,174,68,8,68,1,259
emp-4,180,80,8,40,2,273
emp-4,210,96,0,0,1,42
emp-4,160,0,72,0,0,0
emp-4,210,0,8,0,0,0
emp-4,160,8,8,0,1,7
emp-4,160,25,0,0,2,35
emp-4,200,35,40,0,2,70
emp-4,160,16,40,0,2,91
emp-4,162,34,8,0,5,126
emp-4,168,32,0,0,6,140
emp-4,221,35,0,0,5,168
emp-4,172,12,0,0,2,98
emp-4,175,15,16,0,5,133
emp-4,168,7,0,4,2,154
emp-4,94,4,16,4,1,28
emp-5,188,150,8,62,4,77
emp-5,200,118,32,36,4,105
emp-5,204,132,40,22,3,133
emp-5,164,140,24,20,3,168
emp-5,138,122,0,0,1,196
emp-5,182,164,0,20,3,231
emp-5,103,63,0,0,5,245
emp-5,139,93,40,0,2,28
emp-5,140,108,32,0,2,49
emp-5,178,120,16,0,1,35
emp-5,216,104,64,0,2,70
emp-5,170,112,16,0,1,98
emp-5,156,128,8,0,2,119
emp-5,144,96,48,0,3,154
emp-5,130,82,48,0,2,182
emp-5,164,120,16,8,4,203
emp-5,172,88,0,32,2,35
emp-5,170,106,0,36,3,56
emp-5,160,160,0,0,1,35
emp-5,222,206,16,0,1,70
emp-5,164,88,72,0,1,84
emp-5,152,136,16,0,2,126
emp-5,88,86,0,0,1,35
emp-7,198,144,8,0,1,63
emp-7,188,162.5,8,80.5,2,77
emp-7,215,215,0,215,1,49
emp-7,213.5,160,0,160,1,77
emp-7,174,48,8,48,1,91
emp-7,208,40,88,40,1,0
emp-7,209,148,16,148,1,28
emp-7,264,200,0,200,1,63
emp-7,251,156,8,156,1,91
emp-7,244,112,16,112,1,119
emp-7,240,152,39.5,152,2,126
emp-7,170,0,96,0,0,0
emp-7,183,0,8,0,0,0
emp-7,109,80,0,0,1,7
emp-7,254,200,0,0,1,42
emp-7,200,160,8,0,1,70
emp-7,284.4999997616,182,40,0,1,105
emp-7,262.8999998569,195,0,0,1,133
emp-7,239.5,180.5,16,0,1,161
emp-7,117.5,94.5,0,0,1,175
emp-9,40,40,0,40,1,70
emp-9,96,0,16,0,0,0
emp-9,205,149,56,0,1,21
emp-9,168,156,8,0,1,56
emp-9,132,48,0,32,3,63
emp-9,227,195,0,0,1,28
emp-9,173,140,24,0,1,56
emp-9,178,150,8,0,2,63
emp-9,200,192,8,0,1,49
emp-9,165,136,24,0,1,77
emp-9,209,136,64,0,1,112
emp-9,170,144,8,0,1,140
emp-9,172,160,0,0,1,168
emp-9,200,152,32,0,1,203
emp-9,182,120,40,0,1,224
emp-9,165,128,16,64,3,238
emp-9,190,128,8,128,2,28
emp-9,246,141,8,141,1,49
emp-9,216,160,8,160,1,77
emp-9,193,135,16,135,1,105
emp-9,130,72,0,72,1,140
emp-9,163,120,16,120,1,168
